Name,Class,Role,Tier,Score,Trend,Win_Percetage,Role_Percetage,Pick_Percetage,Ban_Percetage,KDA
Pyke,Support,SUPPORT,S,63.22,0,0.49520000000000003,0.9527,0.0787,0.1281,2.19
Qiyana,Assassin,MID,B,43.98,0,0.4826,0.8096,0.024300000000000002,0.0076,2.09
Quinn,Marksman,MID,B,45.43,0,0.5021,0.1013,0.0016,0.006,2.23
Rakan,Support,SUPPORT,S,66.82,0,0.5318999999999999,0.9776,0.0677,0.0060999999999999995,2.99
Rammus,Tank,JUNGLE,A,51.61,0,0.5204,0.8870999999999999,0.0281,0.0666,3.18
Rek'Sai,Fighter,JUNGLE,D,31.75,0,0.4829,0.9534999999999999,0.0146,0.0062,2.37
Rell,Tank,SUPPORT,A,48.76,0,0.5332,0.9828,0.018600000000000002,0.0040999999999999995,2.49
Renata Glasc,Support,SUPPORT,B,46.85,0,0.5031,0.9881,0.0273,0.0121,2.68
Renekton,Fighter,TOP,A,52.05,0,0.48719999999999997,0.8617,0.0471,0.025099999999999997,1.79
Rengar,Assassin,JUNGLE,C,42.92,0,0.47740000000000005,0.7458,0.0405,0.0709,2.24
Riven,Fighter,TOP,A,50.31,0,0.4919,0.9115000000000001,0.0392,0.0123,1.87
Rumble,Fighter,MID,A,50.18,0,0.5156000000000001,0.419,0.010700000000000001,0.0048,2.61
Ryze,Mage,MID,B,46.08,0,0.4818,0.846,0.0335,0.0111,2.37
Samira,Marksman,ADC,God,72.44,0,0.5216,0.9808,0.1125,0.3007,2.34
Sejuani,Tank,JUNGLE,S,58.3,0,0.5086999999999999,0.857,0.049699999999999994,0.0129,3.23
Senna,Marksman,SUPPORT,A,49.24,0,0.4882,0.9218000000000001,0.045899999999999996,0.012,2.49
Seraphine,Mage,SUPPORT,A,48.66,0,0.4901,0.7056,0.0432,0.0123,2.48
Sett,Fighter,TOP,S,65.79,0,0.5042,0.8412000000000001,0.0742,0.0433,1.74
Shaco,Assassin,JUNGLE,S,58.83,0,0.4882,0.7914,0.056900000000000006,0.1487,2.7
Shen,Tank,TOP,S,64.06,0,0.5214,0.8734000000000001,0.042300000000000004,0.0095,3.02
Shyvana,Fighter,TOP,C,40.6,0,0.5055,0.1283,0.0022,0.0033,2.04
Singed,Tank,MID,A,54.72,0,0.5408,0.1522,0.0037,0.005,2.88
Sion,Tank,TOP,S,59.46,0,0.5164,0.8473,0.0519,0.0118,1.82
Sivir,Marksman,ADC,B,46.19,0,0.5071,0.9815,0.059500000000000004,0.0083,2.48
Skarner,Fighter,TOP,C,37.61,0,0.4864,0.2027,0.0018,0.0014000000000000002,2.2
Sona,Support,SUPPORT,S,56.26,0,0.526,0.975,0.0381,0.0031,3.02
Soraka,Support,SUPPORT,S,56.08,0,0.5093,0.9615,0.050499999999999996,0.0195,2.75
Swain,Mage,MID,A,53.46,0,0.5272,0.31,0.0167,0.035,2.77
Sylas,Mage,JUNGLE,God,73.99,0,0.49439999999999995,0.5089,0.0814,0.1985,2.47
Syndra,Mage,MID,A,49.73,0,0.4932,0.9218999999999999,0.053,0.026699999999999998,2.29
Tahm Kench,Support,TOP,B,46.88,0,0.4989,0.693,0.0171,0.006999999999999999,2.41
Taliyah,Mage,MID,B,48.45,0,0.5103,0.5025999999999999,0.0124,0.0052,2.37
Talon,Assassin,MID,B,47.11,0,0.4943,0.7229000000000001,0.0308,0.0109,2.21
Taric,Support,SUPPORT,B,43.87,0,0.5068,0.8748,0.0154,0.0032,2.73
Teemo,Marksman,TOP,A,51.18,0,0.4951,0.7441,0.039,0.0608,1.72
Thresh,Support,SUPPORT,S,65.46,0,0.49079999999999996,0.9804,0.0925,0.0213,2.56
Tristana,Marksman,ADC,A,51.9,0,0.5122,0.7195999999999999,0.0793,0.0424,2.35
Trundle,Fighter,JUNGLE,C,35.64,0,0.49310000000000004,0.727,0.0151,0.008199999999999999,2.61
Tryndamere,Fighter,MID,A,48.59,0,0.5212,0.147,0.0043,0.0239,2.18
Twisted Fate,Mage,MID,B,45.39,0,0.4851,0.8987999999999999,0.021,0.0016,2.4
Twitch,Marksman,ADC,B,48.55,0,0.5171,0.5165,0.053200000000000004,0.1361,2.43
Udyr,Fighter,JUNGLE,S,63.7,0,0.5212,0.8432,0.0535,0.1655,2.63
Urgot,Fighter,TOP,B,48.32,0,0.49979999999999997,0.927,0.0285,0.011399999999999999,1.92
Varus,Marksman,ADC,S,55.03,0,0.4961,0.8936,0.1075,0.0339,2.39
Vayne,Marksman,TOP,C,39.22,0,0.4965,0.1825,0.0102,0.040999999999999995,1.59
Veigar,Mage,MID,B,45.25,0,0.4814,0.7386,0.032799999999999996,0.019,2.2
Vel'Koz,Mage,MID,B,47.18,0,0.4984,0.30260000000000004,0.0086,0.0051,2.61
Vex,Mage,MID,A,50.53,0,0.5056,0.92,0.036000000000000004,0.0437,2.42
